タイムスタンプ,SEKAI NO OWARI,緑黄色社会,DISH//,LiSA,aiko,菅田将暉,BTS,[Alexandros],SixTONES,Mr.Children
2021/11/29 19:33:43,3,2,2,2,2,3,3,3,,1
2021/11/29 19:47:54,4,3,3,4,4,5,4,4,1,4
