タイムスタンプ,菅田将暉,DISH//,King & Prince,福山雅治,ずっと真夜中でいいのに。,GReeeeN,aiko,back number,LiSA,平井大
2021/11/29 19:34:26,3,3,3,4,5,4,2,2,3,2
2021/11/29 19:46:29,5,3,2,2,5,5,4,5,4,3
